name,collection,material,verts,faces,x_min_mm,x_max_mm,y_min_mm,y_max_mm,z_min_mm,z_max_mm,r_max_mm,count,spool,axis_x,axis_y,axis_z,spin
vanes_igv,01 Inlet and Fan,titanium,19936,18536,-98.4,-11.6,-595.7,595.7,-595.7,595.7,595.7,,,,,,
variable_vane_actuation,01 Inlet and Fan,steel,23836,25932,-73.0,1108.4,-651.0,651.0,-651.0,651.0,651.0,,,,,,
combustor_dome,03 Combustor,hot_nickel,2736,2736,1555.6,1646.0,-420.0,420.0,-420.0,420.0,420.0,,,,,,
combustor_liner_inner,03 Combustor,hot_nickel,7920,7072,1620.0,1980.0,-317.0,317.0,-317.0,317.0,317.0,,,,,,
combustor_liner_outer,03 Combustor,hot_nickel,7855,6144,1620.0,1980.0,-437.0,437.0,-437.0,437.0,437.0,,,,,,
combustor_swirlers,03 Combustor,hot_nickel,3200,2800,1604.0,1636.0,-400.6,400.6,-400.6,400.6,400.6,,,,,,
diffuser,03 Combustor,hot_nickel,1344,1296,1541.4,1640.0,-430.0,430.0,-430.0,430.0,430.0,,,,,,
fuel_manifold,03 Combustor,steel,2016,2016,1563.0,1589.0,-510.7,510.7,-510.7,510.7,510.7,,,,,,
fuel_nozzles,03 Combustor,steel,4320,4400,1550.0,1638.0,-534.0,534.0,-534.0,534.0,534.6,,,,,,
igniters,03 Combustor,steel,188,192,1660.0,1720.0,-445.2,445.2,-380.4,380.4,556.8,,,,,,
blades_hpt_ngv,04 Turbines,hot_nickel,16698,11132,1957.5,2050.0,-421.8,421.8,-421.8,421.8,421.8,46,,,,,
blades_hpt_r1,04 Turbines,hot_nickel,22464,14112,2011.7,2107.8,-412.0,412.0,-412.0,412.0,412.0,72,hp,1.0,0.0,0.0,-1.0
blades_lpt_r1,04 Turbines,hot_nickel,57376,53680,2193.8,2244.2,-434.0,434.0,-434.0,434.0,434.0,,lp,1.0,0.0,0.0,1.0
blades_lpt_r2,04 Turbines,hot_nickel,62592,58560,2300.2,2345.8,-458.0,458.0,-458.0,458.0,458.0,,lp,1.0,0.0,0.0,1.0
